artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
,insunsh,2009-02-27,20th century,black rectangular cloth with fuchsia embroidery at each edge on opposite sides of cloth,22 1/4 x 12 1/2 in. (56.5 x 31.8 cm),31.8,http://pstrial-2019-12-16.toscrape.com/content/12138.jpg,Not on View,Cotton,882.79,Hat,http://pstrial-2019-12-16.toscrape.com/item/12138/Hat?back=155,56.5
,insunsh,2012-03-31,c. 1955,"reverse patchwork of animal designs in blue, yellow, red and orange",16 3/4 x 22 1/8in. (42.5 x 56.2cm),56.2,http://pstrial-2019-12-16.toscrape.com/content/12125.jpg,Not on View,Cotton; needlework,588.62,Front Panel for Blouse,http://pstrial-2019-12-16.toscrape.com/item/12125/Front_Panel_for_Blouse?back=155,42.5
Joel D. Levinson,insunsh,2010-12-17,1977,shoes and small toys,"12 5/16 x 18 1/8 in. (31.27 x 46.04 cm) (image)
15 15/16 x 19 15/16 in. (40.48 x 50.64 cm) (sheet)",46.04,http://pstrial-2019-12-16.toscrape.com/content/11953.jpg,Not on View,Gelatin silver print,260.87,Untitled 52,http://pstrial-2019-12-16.toscrape.com/item/11953/Untitled_52?back=155,31.27
Michael A. Smith,insunsh,2011-08-16,1975,,"7 9/16 x 9 1/2 in. (19.21 x 24.13 cm) (image)
13 x 15 in. (33.02 x 38.1 cm) (mount)",24.13,http://pstrial-2019-12-16.toscrape.com/content/11792.jpg,Not on View,Gelatin silver print,332.4,"Near Blue River, British Columbia",http://pstrial-2019-12-16.toscrape.com/item/11792/Near_Blue_River_British_Columb?back=155,19.21
,insunsh,2012-03-12,3rd-2nd century BCE,Cylindrical vessel with wide band of red background with volutes of white and lavendar-blue in center; top and bottom are banded in black with white lattice dot design,6 1/2 x 4 1/8 in. (16.5 x 10.48 cm),10.48,http://pstrial-2019-12-16.toscrape.com/content/11646.jpg,G204,"Earthenware, pigments",202.78,Jar,http://pstrial-2019-12-16.toscrape.com/item/11646/Jar?back=155,16.5
,insunsh,2016-06-18,late 19th-early 20th century,football-shaped; carved on one side with three standing stylized figures flanked by vertical hatched bands,1 1/2 x 3/4 x 1/2 in. (3.81 x 1.91 x 1.27 cm),,http://pstrial-2019-12-16.toscrape.com/content/11526.jpg,Not on View,Nutshell,828.69,Abia game token,http://pstrial-2019-12-16.toscrape.com/item/11526/Abia_game_token?back=155,
,insunsh,2017-06-27,Date Unknown,"two birds with rusty orange backs with white spots; dark blue face, beak and bib on neck front; breast yellow to orange with white spots; bush at left; tree with pink buds at right","7 5/16 x 12 3/8 in. (18.57 x 31.43 cm) (sight)
14 1/4 x 18 3/4 x 7/16 in. (36.2 x 47.63 x 1.11 cm) (outer frame)",31.43,http://pstrial-2019-12-16.toscrape.com/content/11525.jpg,Not on View,Pigments on paper,855.87,Untitled [two rust birds],http://pstrial-2019-12-16.toscrape.com/item/11525/Untitled_two_rust_birds_?back=155,18.57
Attributed to Jürgen Ovens,insunsh,2011-04-03,17th century,"very sketchy, with long flowing lines; four figures surround and carry body of Jesus at center",8 3/16 x 13 9/16 in. (20.8 x 34.45 cm) (sheet),34.45,http://pstrial-2019-12-16.toscrape.com/content/11379.jpg,Not on View,Pen and black ink on laid paper,177.79,Entombment,http://pstrial-2019-12-16.toscrape.com/item/11379/Entombment?back=155,20.8
Louis-Georges Brillouin,insunsh,2013-09-14,1847,view through arches with square columns at right,"8 9/16 x 5 1/2 in. (21.75 x 13.97 cm) (sheet)
16 1/4 x 10 in. (41.28 x 25.4 cm) (mount)",13.97,http://pstrial-2019-12-16.toscrape.com/content/11376.jpg,Not on View,Graphite and white chalk on gray paper,718.77,"View of the Tabularium, Rome",http://pstrial-2019-12-16.toscrape.com/item/11376/View_of_the_Tabularium_Rome?back=155,21.75
Attributed to Paulus van Vianen,insunsh,2008-03-19,17th century,"young man wearing skirtlike garment kneeling on a sack, kissing the hand of a standing old man with long white hair and beard; architectural elements (column and steps) at left; lightly-penciled trees at right",5 5/8 x 8 1/2 in. (14.29 x 21.59 cm),21.59,http://pstrial-2019-12-16.toscrape.com/content/11349.jpg,Not on View,Pen and brown ink over black chalk on laid paper,346.01,Return of the Prodigal Son,http://pstrial-2019-12-16.toscrape.com/item/11349/Return_of_the_Prodigal_Son?back=155,14.29
,insunsh,2017-06-29,1955-1960,"white plain cotton weave with white supplemental weft and color (tan, purple, pink, green); supplementary weft at borders",33 3/8 x 30 in. (84.76 x 76.2 cm),76.2,http://pstrial-2019-12-16.toscrape.com/content/12934.jpg,Not on View,Cotton; supplementary weft patterning,831.22,Cofradia Tzute,http://pstrial-2019-12-16.toscrape.com/item/12934/Cofradia_Tzute?back=155,84.76
Magdalena Abakanowicz,insunsh,2008-05-02,1976,"Jute is wrapped and formed into a circular form with a hole in the center, resembling a fist",5 x 8 x 6 in. (12.7 x 20.32 x 15.24 cm),,http://pstrial-2019-12-16.toscrape.com/content/12911.jpg,Not on View,Jute; wrapped fibers,275.12,Hand,http://pstrial-2019-12-16.toscrape.com/item/12911/Hand?back=155,
,insunsh,2013-03-19,18th century,"Panel, oblong, of fine linen material embroidered with leafy vine and blue and henna flowers. Linen.",28 1/2 x 20 3/4 in. (72.39 x 52.7 cm),52.7,http://pstrial-2019-12-16.toscrape.com/content/12793.jpg,Not on View,Linen; needlework,140.58,Panel,http://pstrial-2019-12-16.toscrape.com/item/12793/Panel?back=155,72.39
,insunsh,2011-02-19,19th century,"tube-shaped container, slightly smaller in diameter at bottom; tied at top, bottom and side with leather thongs; decorated with repeating geometric patterns in 3 rows on body, in red, green and black",10 3/4 x 3 1/2 x 3 3/8 in. (27.3 x 8.9 x 8.6 cm),,http://pstrial-2019-12-16.toscrape.com/content/12773.jpg,Not on View,"Animal hide, pigment",570.99,Parfleche Container,http://pstrial-2019-12-16.toscrape.com/item/12773/Parfleche_Container?back=155,
Guillaume Coustou the Younger,insunsh,2012-06-04,18th century,,24 5/8 x 15 1/2 x 10 1/2 in. (62.55 x 39.37 x 26.67 cm),,http://pstrial-2019-12-16.toscrape.com/content/12712.jpg,Not on View,Bronze,784.11,The Muses of Music and Poetry,http://pstrial-2019-12-16.toscrape.com/item/12712/The_Muses_of_Music_and_Poetry?back=155,
